Jour;Disponibilite
1;0.00
2;0.00
3;0.00
4;0.00
5;0.00
6;0.00
7;0.00
8;0.00
9;0.00
10;0.00
11;0.00
12;0.00
13;0.00
14;0.00
15;0.00
16;0.00
17;0.00
18;0.00
19;0.00
20;0.00
21;0.00
22;0.00
23;0.00
24;0.00
25;0.00
26;0.00
27;0.00
28;0.00
29;0.00
30;0.00
31;0.00
32;0.00
33;0.53
34;0.53
35;2.40
36;4.36
37;4.36
38;4.36
39;4.36
40;5.53
41;5.53
42;6.61
43;6.61
44;6.61
45;6.61
46;6.61
47;6.61
48;6.61
49;6.61
50;6.61
51;7.75
52;7.75
53;7.75
54;7.75
55;7.75
56;7.75
57;7.75
58;9.34
59;9.34
60;9.34
61;9.34
62;9.34
63;9.34
64;10.45
65;11.35
66;11.65
67;11.65
68;11.65
69;11.65
70;11.65
71;11.65
72;11.65
73;11.65
74;11.65
75;11.65
76;11.65
77;11.65
78;11.65
79;11.65
80;11.65
81;13.46
82;13.46
83;13.46
84;13.46
85;13.46
86;13.46
87;13.46
88;13.46
89;13.46
90;13.46
91;13.46
92;13.46
93;13.46
94;13.46
95;13.46
96;13.46
97;16.76
98;20.42
99;20.42
100;20.42
101;20.42
102;20.42
103;20.42
104;20.42
105;20.42
106;20.42
107;20.42
108;20.42
109;20.42
110;20.42
111;20.42
112;20.42
113;20.42
114;20.42
115;20.42
116;20.42
117;20.42
118;20.42
119;20.42
120;20.42
121;21.43
122;21.43
123;21.43
124;21.43
125;21.43
126;21.43
127;21.43
128;21.43
129;21.43
130;21.43
131;21.43
132;21.43
133;21.43
134;21.43
135;21.43
136;21.43
137;21.43
138;21.43
139;21.43
140;21.43
141;21.43
142;21.43
143;21.43
144;21.43
145;21.43
146;21.43
147;21.43
148;21.43
149;21.43
150;21.43
151;21.43
152;21.43
153;21.43
154;21.43
155;21.43
156;21.43
157;21.43
158;21.43
159;22.51
160;27.06
161;27.06
162;27.06
163;27.06
164;27.06
165;27.06
166;27.06
167;27.06
168;27.06
169;27.06
170;27.06
171;27.06
172;27.06
173;9.69
174;9.69
175;9.69
176;5.83
177;5.83
