Jour;Unite_dev
1;0
2;1.978862395
3;3.708222356
4;5.515939492
5;7.248295407
6;8.904678953
7;10.12328525
8;11.73918789
9;12.74945511
10;13.23604374
11;12.51095933
12;12.25116978
13;12.34658153
14;12.90080671
15;13.53386687
16;13.95220127
17;15.32031888
18;16.62807467
19;17.74701936
20;18.87865104
21;20.12732181
22;21.17994505
23;22.16501552
24;22.27276598
25;21.59132469
26;20.98448886
27;20.45410747
28;20.76487456
29;22.76641909
30;25.83410645
31;28.76332997
32;30.95733247
33;33.08801524
34;34.24226021
35;35.9331951
36;38.3603729
37;40.43903558
38;43.1166021
39;46.63296631
40;49.11421681
41;51.12960082
42;52.53379652
43;54.05616205
44;57.20534907
45;59.87208623
46;62.78025613
47;64.44621339
48;66.09558744
49;68.5255606
50;71.01998329
51;72.46684997
52;73.74244607
53;76.28427532
54;79.04617413
55;83.07963823
56;86.2555245
57;88.27691528
58;92.12297774
59;95.44336328
60;98.26705762
61;100.9137698
62;102.7942187
63;106.5519465
64;108.3008647
65;109.9383733
66;112.0712927
67;115.7205035
68;120.9602415
69;125.3548949
70;130.6077082
71;133.8997586
72;137.7774925
73;141.4592523
74;146.6813633
75;150.1479817
76;153.5030917
77;157.9533766
78;162.3467661
79;166.3859573
80;169.3680527
81;173.5802229
82;178.537873
83;184.406518
84;190.3776336
85;195.3618133
86;198.7653346
87;201.8280291
88;205.2359093
89;207.4909303
90;211.0096129
91;215.5939875
92;218.9500769
93;224.3296432
94;230.7582123
95;236.8430695
96;239.4550142
97;242.7738295
98;247.1559785
99;252.5590977
100;257.8858279
101;264.6086488
102;267.5790409
103;271.5286535
104;276.109657
105;280.6628327
106;285.248369
107;289.373606
108;295.6355638
109;302.9395271
110;310.4818844
111;320.3531445
112;329.0163352
113;337.9291186
114;345.7384148
115;352.6238044
116;362.7563445
117;371.1108723
118;377.7964409
119;386.188204
120;394.4299644
121;404.5412056
122;414.5767044
123;423.0339359
124;430.7167199
125;440.0987727
126;451.6144415
127;463.8910691
128;476.8654345
129;489.5564663
130;503.3771812
131;517.055395
132;529.5856122
133;542.3939388
134;555.5538923
135;569.5032044
136;583.8827
137;598.9879188
138;609.299516
139;618.9163983
140;626.8655703
141;634.8477659
142;644.0606724
143;653.234614
144;664.557126
145;676.5276716
146;687.4006196
147;698.0823586
148;707.4218622
149;717.0986468
150;726.1890848
151;734.9974391
152;746.3103395
153;758.7416099
154;773.3080698
155;788.5347632
156;801.2137789
157;809.998507
158;820.687297
159;831.6324711
160;845.1208734
161;860.6850038
162;872.4739858
163;883.3277073
164;895.5424159
165;910.0720131
166;925.1704374
167;938.1325656
168;953.409475
169;968.5335256
170;985.1743785
171;1004.683809
172;1023.635111
173;1039.398344
174;1053.564518
175;1067.007832
176;1077.739698
177;1087.351033
178;1098.540505
179;1110.431262
180;1123.890825
181;1138.122458
182;1153.516545
183;1169.673062
184;1185.721642
185;1200.404114
186;1213.958942
187;1227.952599
188;1242.61506
189;1255.14033
190;1265.227256
191;1276.446938
192;1288.405666
193;1299.251367
194;1309.832887
195;1321.908319
196;1334.17127
197;1344.721339
198;1354.703727
199;1364.79939
200;1376.432119
201;1388.840901
202;1402.613502
203;1415.661173
204;1429.31712
205;1444.088821
206;1457.257633
207;1470.001697
208;1484.135439
209;1497.624275
210;1510.688179
211;1522.901267
212;1535.40759
213;1549.263055
214;1565.436481
215;1578.865563
216;1591.665158
217;1603.287238
218;1615.325736
219;1627.295789
220;1640.624935
221;1653.470498
222;1667.248053
223;1680.141241
224;1693.08882
225;1707.540416
226;1723.672542
227;1738.334474
228;1752.06112
229;1764.862877
230;1778.220187
231;1790.727488
232;1802.079251
233;1812.978646
234;1823.181659
235;1833.067309
236;1844.540836
237;1857.822463
238;1872.098771
239;1884.531112
240;1895.144425
241;1905.02917
242;1915.546121
243;1926.276426
244;1936.636775
245;1946.114456
246;1955.690667
247;1964.740492
248;1972.036222
249;1979.385993
250;1988.168947
251;1996.278891
252;2005.845331
253;2016.627793
254;2026.733544
255;2037.975188
256;2047.229882
257;2055.676597
258;2064.930332
259;2074.412214
260;2082.338571
261;2089.843189
262;2097.780981
263;2105.4009
264;2112.315104
265;2118.778109
266;2127.686112
267;2136.273731
268;2144.214576
269;2151.425665
270;2160.053083
271;2167.44993
272;2174.320857
273;2181.170443
274;2187.864027
275;2193.563943
276;2198.988643
277;2204.619014
278;2210.707169
279;2216.563748
280;2220.932225
281;2224.839916
282;2230.146828
283;2234.258301
284;2238.205512
285;2242.788143
286;2247.12452
287;2250.868108
288;2254.18524
289;2258.076389
290;2262.075495
291;2265.806306
292;2269.93806
293;2275.263441
294;2280.276036
295;2285.766235
296;2291.299189
297;2296.245795
298;2300.274256
299;2304.289793
300;2308.325564
301;2312.347093
302;2316.813763
303;2320.416125
304;2323.622883
305;2326.759687
306;2329.79635
307;2332.889398
308;2335.609155
309;2337.782958
310;2339.87096
311;2342.670599
312;2344.912512
313;2347.328886
